,url,title,date,category,description
164,https://www.youtube.com/watch?v=aMBjVmlVXus,DECKED OUT IS DONE! Let's begin Testing with Full Runs! - Hermitcraft 9: #50,2023-08-28,main,
88,https://www.youtube.com/watch?v=UuAMrfDvUlo,Hermitcraft - Decked Out Testing - The Mysterious Broken Torch!,2023-08-29,VOD,
89,https://www.youtube.com/watch?v=Yw9B6TMuxy4,TIME TO BRING IN THE WARDENS!,2023-08-31,VOD,
90,https://www.youtube.com/watch?v=4g69qTpFbV0,Decked Out Final Week Prep! Mega Stream!,2023-09-05,VOD,
91,https://www.youtube.com/watch?v=v8fV58bcO7A,Trains and Pain - Decked Out Testing and Scar Hangout!,2023-09-07,VOD,
92,https://www.youtube.com/watch?v=pd8gIK9ik2o,Zedaph Runs Decked Out Pre-Release! It's Working AMAZINGLY!,2023-09-08,VOD,
165,https://www.youtube.com/watch?v=aoVVCwx6k1w,How to Play Decked Out 2!,2023-09-08,main,
93,https://www.youtube.com/watch?v=W0-IBVqE4Gw,The Wardens Escaped! Grian to the Rescue!,2023-09-09,VOD,
94,https://www.youtube.com/watch?v=g24jGMv3SpA,8 AMAZING HOURS OF HERMITS PLAYING DECKED OUT!,2023-09-10,VOD,
95,https://www.youtube.com/watch?v=bEWYn6vhG7I,DAY 2 of Decked Out! Dipping into Level 2?!,2023-09-11,VOD,
96,https://www.youtube.com/watch?v=uDonW4lakX4,INTENSE Decked Out Runs! I love watching Hermits play this!,2023-09-12,VOD,
97,https://www.youtube.com/watch?v=I-CZsHRQ858,Amazing Scar and Etho Decked Out Runs!  Then I Start My OWN Deck.,2023-09-14,VOD,
98,https://www.youtube.com/watch?v=PVd15iAeS6s,Chatting with Etho While He Runs Decked Out!,2023-09-16,VOD,
99,https://www.youtube.com/watch?v=JVuG6XHIaiE,Introducing the Official Decked Out Artifakes!,2023-09-17,VOD,
100,https://www.youtube.com/watch?v=6bNFrs-LcuI,Phase 2 Begins! Trophies are Awarded!,2023-09-18,VOD,
101,https://www.youtube.com/watch?v=J_Wn8grQRXs,"Clank Needs an Overhaul! Scar, Gem, Hypno, and Joe do Runs!",2023-09-21,VOD,
102,https://www.youtube.com/watch?v=T7ebQ_iFCls,Making Changes to the Caves of Carnage! + My Own Runs,2023-09-23,VOD,
103,https://www.youtube.com/watch?v=-17qkJz5Jeo,BDubs Broke My Game!?,2023-09-24,VOD,
104,https://www.youtube.com/watch?v=Ajydw4rrBwY,Phase 3 Starting Now! Score Updates and Shards Distributed!,2023-09-25,VOD,
105,https://www.youtube.com/watch?v=0DWCjvWQUu0,"CRAZY Decked Out Runs with Cub, Pearl and Doc!",2023-09-26,VOD,
106,https://www.youtube.com/watch?v=88lV6UhSsww,Etho Enters The Black Mines! Decked Out,2023-09-28,VOD,
166,https://www.youtube.com/watch?v=MijnXQY666k,I Am The Dungeon Lackey! - Hermitcraft 9: #51,2023-09-29,main,
