label,track,start,end,score
William the Conqueror,100,1028,1087,107
Malcolm III of Scotland,101,1031,1093,49
Shen Kuo,102,1031,1095,58
Pope Urban II,103,1035,1099,89
William II of England,0,1060,1100,69
Godfrey of Bouillon,1,1060,1100,67
Władysław I Herman,104,1043,1102,35
Rashi,105,1040,1105,48
Yusuf ibn Tashfin,106,1009,1106,42
"Henry IV, Holy Roman Emperor",2,1050,1106,67
Philip I of France,3,1052,1108,63
Anselm of Canterbury,107,1033,1109,72
Alfonso VI of León and Castile,108,1040,1109,47
Al-Ghazali,4,1058,1111,123
"Coloman, King of Hungary",5,1070,1116,43
Alexios I Komnenos,109,1048,1118,69
Pope Paschal II,6,1050,1118,68
Baldwin I of Jerusalem,7,1058,1118,49
Hasan-i Sabbah,110,1037,1124,46
David IV,8,1073,1125,53
"Henry V, Holy Roman Emperor",9,1086,1125,54
Omar Khayyam,111,1048,1131,115
Henry I of England,10,1068,1135,75
"Lothair III, Holy Roman Emperor",11,1075,1137,48
Louis VI of France,12,1081,1137,63
Avempace,13,1095,1139,52
Peter Abelard,14,1079,1142,76
John II Komnenos,15,1087,1143,57
Geoffrey of Monmouth,16,1100,1150,58
Anna Komnene,17,1083,1153,57
David I of Scotland,18,1084,1153,53
Bernard of Clairvaux,19,1090,1153,67
"Stephen, King of England",20,1095,1154,65
Roger II of Sicily,21,1095,1154,51
Abdul Qadir Gilani,22,1078,1166,54
Muhammad al-Idrisi,23,1110,1166,84
Empress Matilda,24,1102,1167,66
Thomas Becket,25,1119,1170,60
Hildegard of Bingen,26,1098,1179,91
Manuel I Komnenos,27,1118,1180,70
Louis VII of France,28,1120,1180,70
Pope Alexander III,29,1100,1181,78
Chrétien de Troyes,30,1135,1181,62
Henry the Young King,31,1155,1183,52
Afonso I of Portugal,32,1109,1185,67
Ibn Tufayl,33,1110,1185,49
Bhāskara II,34,1114,1185,59
Henry II of England,35,1133,1189,81
Frederick Barbarossa,36,1122,1190,93
Saladin,37,1138,1193,144
Guy of Lusignan,38,1150,1194,47
Henry the Lion,39,1129,1195,51
Averroes,40,1126,1198,112
Minamoto no Yoritomo,41,1147,1199,49
Richard I of England,42,1157,1199,100
Zhu Xi,43,1130,1200,113
Eleanor of Aquitaine,44,1124,1204,64
Maimonides,45,1138,1204,87
Enrico Dandolo,46,1107,1205,46
Muhammad of Ghor,47,1144,1206,44
Nizami Ganjavi,48,1141,1209,72
Arnaut Daniel,49,1150,1210,45
Pope Innocent III,50,1160,1216,84
"John, King of England",51,1166,1216,87
Shota Rustaveli,52,1172,1216,79
"Otto IV, Holy Roman Emperor",53,1175,1218,56
Saint Dominic,54,1170,1221,66
Philip II of France,55,1165,1223,77
Francis of Assisi,56,1182,1226,106
Louis VIII of France,57,1187,1226,71
Genghis Khan,58,1162,1227,181
Jochi,59,1182,1227,63
Pérotin,60,1155,1230,46
Anthony of Padua,61,1195,1231,72
Tolui,62,1191,1232,55
Fibonacci,63,1170,1240,118
Pope Gregory IX,64,1160,1241,76
Snorri Sturluson,65,1179,1241,68
Ögedei Khan,66,1186,1241,81
"Frederick II, Holy Roman Emperor",67,1194,1250,81
Giovanni da Pian del Carpine,68,1182,1252,47
Batu Khan,69,1205,1255,77
Möngke Khan,70,1209,1259,55
Alexander Nevsky,71,1220,1263,75
Hulegu Khan,72,1217,1265,77
Louis IX of France,73,1214,1270,87
Henry III of England,74,1207,1272,74
Nasir al-Din al-Tusi,75,1201,1273,65
Rumi,76,1207,1273,117
Bonaventure,77,1221,1274,64
Thomas Aquinas,78,1225,1274,162
Madhvacharya,79,1190,1278,50
Ottokar II of Bohemia,80,1233,1278,48
Albertus Magnus,81,1193,1280,78
Alfonso X of Castile,82,1221,1284,59
Peter III of Aragon,83,1239,1285,49
Philip III of France,84,1245,1285,67
Saadi Shirazi,85,1210,1291,82
Rudolf I of Germany,86,1218,1291,60
Roger Bacon,87,1220,1292,72
Kublai Khan,88,1215,1294,102
Cimabue,89,1240,1302,59
Arnolfo di Cambio,90,1240,1302,43
Pope Boniface VIII,91,1235,1303,74
William Wallace,92,1270,1305,82
Wenceslaus II of Bohemia,93,1271,1305,44
Edward I,94,1239,1307,82
Duns Scotus,95,1265,1308,67
"Henry VII, Holy Roman Emperor",96,1275,1313,51
Philip IV of France,97,1268,1314,79
Ramon Llull,98,1232,1316,61
Louis X of France,99,1289,1316,65
Rashid al-Din Hamadani,100,1247,1318,55
Duccio,101,1255,1319,63
Dante Alighieri,102,1265,1321,200
Philip V of France,103,1293,1322,59
Marco Polo,104,1254,1324,184
Amir Khusrau,105,1253,1325,70
Osman I,106,1258,1326,98
Edward II,107,1284,1327,73
Ibn Taymiyya,108,1263,1328,66
Charles IV of France,109,1294,1328,64
Robert the Bruce,110,1274,1329,73
Pope John XXII,111,1244,1334,72
Giotto,112,1267,1337,93
Mansa Musa,113,1280,1337,79
Gediminas,114,1275,1341,49
"Louis IV, Holy Roman Emperor",115,1282,1347,57
Ambrogio Lorenzetti,116,1290,1348,47
William of Ockham,117,1285,1349,79
Philip VI of France,118,1293,1350,68
Stefan Dušan,0,1308,1355,47
Jean Buridan,119,1295,1358,46
John II of France,1,1319,1364,65
Ibn Battuta,2,1304,1368,146
Ibn Kathir,3,1301,1373,45
Petrarch,4,1304,1374,112
Giovanni Boccaccio,5,1313,1375,111
Edward the Black Prince,6,1330,1376,60
Guillaume de Machaut,7,1300,1377,54
Edward III,8,1312,1377,79
"Charles IV, Holy Roman Emperor",9,1316,1378,75
Charles V of France,10,1338,1380,72
Catherine of Siena,11,1347,1380,67
Louis I of Hungary,12,1326,1382,55
John Wycliffe,13,1320,1384,69
Pope Urban VI,14,1318,1389,72
Hafez,15,1326,1389,135
Murad I,16,1326,1389,74
Dmitry Donskoy,17,1350,1389,61
Antipope Clement VII,18,1342,1394,40
Hongwu Emperor,19,1328,1398,61
John of Gaunt,20,1340,1399,55
Jadwiga of Poland,21,1374,1399,58
Geoffrey Chaucer,22,1343,1400,144
Richard II of England,23,1367,1400,71
Timur,24,1336,1405,143
Ibn Khaldun,25,1332,1406,138
Tokhtamysh,26,1342,1406,50
Taejo of Joseon,27,1335,1408,46
Margaret I of Denmark,28,1353,1412,63
Owain Glyndŵr,29,1354,1415,41
Jan Hus,30,1369,1415,84
Mircea the Elder,31,1355,1418,35
Antipope John XXIII,32,1370,1419,49
Charles VI of France,33,1368,1422,75
Henry V of England,34,1386,1422,80
Masaccio,35,1401,1428,76
Vytautas the Great,36,1352,1430,52
Pope Martin V,37,1369,1431,73
Joan of Arc,38,1412,1431,161
Zheng He,39,1371,1433,145
Władysław II Jagiełło,40,1362,1434,70
Jan van Eyck,41,1390,1441,80
Filippo Brunelleschi,42,1377,1446,67
Ulugh Beg,43,1394,1449,75
Sejong the Great,44,1397,1450,69
Lorenzo Ghiberti,45,1378,1455,50
Fra Angelico,46,1400,1455,73
Erik of Pomerania,47,1381,1459,47
Pachacuti,48,1380,1460,46
Prince Henry the Navigator,49,1394,1460,66
Charles VII of France,50,1403,1461,74
François Villon,51,1431,1463,75
Cosimo de' Medici,52,1389,1464,56
Rogier van der Weyden,53,1390,1464,61
Donatello,54,1386,1466,103
Johannes Gutenberg,55,1400,1468,168
Skanderbeg,56,1405,1468,78
Henry VI of England,57,1421,1471,72
Vlad the Impaler,58,1431,1476,84
Mehmed II,59,1432,1481,108
Louis XI,60,1423,1483,75
Edward IV,61,1442,1483,74
Pope Sixtus IV,62,1414,1484,77
Jami,63,1414,1492,66
Piero della Francesca,64,1415,1492,67
Casimir IV Jagiellon,65,1427,1492,49
Lorenzo de' Medici,66,1449,1492,75
"Frederick III, Holy Roman Emperor",67,1415,1493,63
Tomás de Torquemada,68,1420,1498,52
Pope Alexander VI,69,1431,1503,93
Isabella I of Castile,70,1451,1504,97
Christopher Columbus,71,1451,1506,215
Gentile Bellini,72,1429,1507,49
Sandro Botticelli,73,1445,1510,104
Bayezid II,74,1447,1512,72
Amerigo Vespucci,75,1454,1512,107
Pope Julius II,76,1443,1513,89
Giovanni Bellini,77,1430,1516,68
Hieronymus Bosch,78,1450,1516,87
Leonardo da Vinci,79,1452,1519,243
Pedro Álvares Cabral,80,1467,1520,81
Raphael,81,1483,1520,179
Ferdinand Magellan,82,1480,1521,182
Vasco da Gama,83,1469,1524,172
Niccolò Machiavelli,84,1469,1527,157
Albrecht Dürer,85,1471,1528,165
Thomas More,86,1478,1535,98
Erasmus,87,1466,1536,104
